February,Week 1,"Dairy - Water, Vegetable - Cucumber"
Month,Week,Items
February,Week 1,"Dairy - Water, Vegetable - Cucumber"
Month,Week,Items
,,"Dairy - Bread, Vegetable - Carrot"
Month,Week,Items
,,"Dairy - Bread, Vegetable - Carrot"
Month,Week,Items
,,"Vegetable - Cucumber, Dairy - Cheese"
Month,Week,Items
,,"Vegetable - Cucumber, Dairy - Cheese"
Month,Week,Items
,,"Dairy - Cheese, Vegetable - Potato"
Month,Week,Items
,,"Dairy - Cheese, Vegetable - Potato"
Month,Week,Items
,,"Dairy - Milk, Vegetable - Lettuce"
Month,Week,Items
,,"Dairy - Milk, Vegetable - Lettuce"
Month,Week,Items
,,"Dairy - Water, Vegetable - Onions"
Month,Week,Items
,,"Dairy - Water, Vegetable - Onions"
Month,Week,Items
,,"Fruits - Banana, Dairy - Cheese, Vegetable - Parsley"
Month,Week,Items
,,"Fruits - Banana, Dairy - Cheese, Vegetable - Parsley"
Month,Week,Items
,,"Fruits - Banana, Dairy - Cheese, Vegetable - Parsley"
Month,Week,Items
,,"Fruits - Banana, Dairy - Cheese, Vegetable - Parsley"
Month,Week,Items
,,"Fruits - Banana, Dairy - Cheese, Vegetable - Parsley"
Month,Week,Items
February,Week 3,"Fruits - Banana, Dairy - Cheese, Vegetable - Eggplant"
Month,Week,Items
February,Week 3,"Fruits - Banana, Dairy - Cheese, Vegetable - Eggplant"
Month,Week,Items
,,Fruits - Banana
Month,Week,Items
,,"Fruits - Banana, Dairy - Eggs"
Month,Week,Items
,,"Fruits - Banana, Dairy - Eggs"
Month,Week,Items
,,"Fruits - Mango, Dairy - Milk"
Month,Week,Items
,,"Fruits - Mango, Dairy - Milk"
Month,Week,Items
,,"Fruits - Mango, Dairy - Milk, Vegetable - Onions"
Month,Week,Items
,,"Fruits - Mango, Dairy - Milk, Vegetable - Onions"
Month,Week,Items
January,Week 1,"Fruits - Apple, Dairy - Bread, Vegetable - Cucumber, Foods - mustard, Frozen - meat, Sweets - icecream, Detergent - softener"
Month,Week,Items
January,Week 1,"Fruits - Apple, Dairy - Bread, Vegetable - Cucumber, Foods - mustard, Frozen - meat, Sweets - icecream, Detergent - softener"
Month,Week,Items
January,Week 1,"Fruits - Apple, Dairy - Bread, Vegetable - Cucumber, Foods - mustard, Frozen - meat, Sweets - icecream, Detergent - softener"
am"
Month,Week,Items
January,Week 1,"Fruits - Apple, Dairy - Bread, Vegetable - Cucumber, Foods - mustard, Frozen - meat, Sweets - icecream"
Month,Week,Items
June,Week 3,"Fruits - Banana, Dairy - Milk, Vegetable - Lettuce"
Month,Week,Items
June,Week 3,"Fruits - Banana, Dairy - Milk, Vegetable - Lettuce"
Month,Week,Items
June,Week 3,"Fruits - Banana, Dairy - Milk, Vegetable - Lettuce"
Month,Week,Items
February,Week 4,"Fruits - Apple, Dairy - Cheese, Vegetable - Pepper, Foods - ketchup, Frozen - meat, Sweets - gum, Detergent - hand wash"
